Venue_Name,Address,Format,Price
SPOT ON 60683 Rj Comforts SPOT,"Yadiyur, Bangalore",Attached Bathroom  CCTV Cameras  Power backup  (+ 1 more),490
Capital O 60419 Hotello Whitefield,"Whitefield, Bangalore",Not Available,1256
OYO 49073 Whitefield Comforts,"Whitefield, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 7 more),1375
SPOT ON 47596 Gayatri Comforts SPOT,"Yelahanka, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 4 more),436
OYO 49774 Rg Grand,"Basapura, Bangalore",Attached Bathroom  Card Payment  CCTV Cameras  (+ 5 more),774
SPOT ON 60227 Hotel Karthik Palace,"Airforce Post, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 7 more),704
SPOT ON 49767 Hotel Iskcon Suites,"Uttrahalli, Bangalore",First Aid  Daily Housekeeping  Banquet Hall  (+ 9 more),704
SPOT ON 60010 Royal Heritage Resort,"Pavagada Rural, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 12 more),704
SPOT ON 60556 Udupi Residency SPOT,"Koramangala, Bangalore",Buzzer/Door Bell  Attached Bathroom  Daily Housekeeping  (+ 6 more),1731
OYO 49996 Jj Homestay,"Bengaluru, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 4 more),774
Capital O 46694 Paul's Inn,"Near Christ College, Bangalore",Daily Housekeeping  Card Payment  Power backup  (+ 11 more),1615
SPOT ON 49484 Jm Comfort,"Banshankari, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 7 more),704
OYO 48720 Ds Residency  Classic,"Nagavara, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 5 more),832
SPOT ON 60228 Hotel Shangrila SPOT,"Sampangi Rama Nagar, Bangalore",Not Available,846
Capital O 49932 Orchard Suites,"Guttahalli, Bangalore",First Aid  Daily Housekeeping  Refrigerator  (+ 15 more),1722
SPOT ON 39773 Pride Image,"Halagevaderahalli, Bangalore",Not Available,704
OYO 48950 Vaishali Residency,"Near Gas Power Grid, Medanahalli, Toyota Road, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 14 more),781
OYO 4797 Lulu Hospitality,"Near XLR8 Indoor Stadium, Kothanur, Bangalore",Parking Facility  Elevator  Complimentary Breakfast  (+ 9 more),811
OYO 22837 Chairmen's Hotel,"Talaghattapura, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 19 more),811
OYO 2561 Hotel Resida Service Apartments,"Indiranagar, Bangalore",Complimentary Breakfast  AC  Card Payment  (+ 7 more),814
OYO 48302 Sky View Lodge,"Near Vivekananda Bus Stop, Above Axis Bank",Not Available,811
SPOT ON 49114 Airport Suites Saver,"Meenakunte Hosur, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 2 more),682
OYO 19559 Pavithra Paradise,"Near McDonald's, Basaveshwar Nagar, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 9 more),811
Capital O 9917 SJR Suites And Comforts,"Narayana Pura, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 11 more),919
OYO 33451 ACE INN,"Near Bolare, Bangalore",Parking Facility  Bar  Attached Bathroom  (+ 17 more),811
OYO 13523 Hotel Luxor The Budget Inn,"Near Thallasery Restaurant, Neeladri Road, Bangalore",Parking Facility  Elevator  AC  (+ 6 more),781
OYO 10521 GCK Suites,"Jayanagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 7 more),811
OYO 10885 Hotel Keerthana International,"Suryanagar, Bangalore",Parking Facility  Kitchen  Bar  (+ 12 more),811
OYO 7096 Elite INN,"Near BSNL Exchange, Anekal Taluk, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 9 more),811
Palette - Village Studio Resort Deluxe,"Nandi Hills Main Rd, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 17 more),3208
OYO 3837 Confido Inn,"Near JP Nagar Metro Station, Kanakapura Road, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 10 more),899
OYO 25121 Bns Lodge,"Near Gandhi Bazaar, Main Road, Bangalore",First Aid  Elevator  Complimentary Breakfast  (+ 12 more),907
OYO 4733 Champion Residency,"Near Yamaha Showroom, KR Puram, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 7 more),811
OYO 9528 Hotel Midas Casita,"Behind Manyata Tech Park Gate No 5, Bangalore",Kitchen  AC  TV  (+ 5 more),820
Capital O 25030 D'brooks,"AECS Layout, Brookefield, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 15 more),1579
OYO 12525 Aditya Inn,"Whitefield, Bangalore",Parking Facility  Elevator  Complimentary Breakfast  (+ 9 more),758
Palette - Shivas Galaxy Deluxe,"Sittigere Village Near Sadahalli Gate International Airport, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 16 more),3799
Capital O 33450 Hotel La Prosperite,"Near Nano Hospital, Bannerghatta Road, Bangalore",First Aid  Conference Room  Elevator  (+ 15 more),1399
OYO 5150 Varcity s,"Sanjaynagar, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),811
OYO 37397 Hotel Dhruv Palace,"Near Corporation Bank, Navya Nagar, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 9 more),811
OYO 18372 Splenor Inn,"Electronic City, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),811
Collection O 30084 Phase 1 Electronic City,"Electronic City, Doddathoguru, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 8 more),753
OYO 9959 Hotel Varcity Ruby,"Amarjyothi Layout, Domlur, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),1006
Capital O 46356 White Mg,"Ulsoor, Bangalore",Daily Housekeeping  Card Payment  Power backup  (+ 8 more),1347
OYO 16107 Rigel Residency,"Near Imperial Restaurant, Mysore Road, Bangalore",Elevator  AC  Card Payment  (+ 7 more),850
Collection O 49503 Moriz Boutique Hotel,"Munnekollal, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 13 more),852
OYO 10379 Hotel Varcity Sapphire,"Dena Bank Colony, Armane Nagar, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 8 more),1250
Capital O 28398 Mysore Gate,"Near Nalanda theater, Mysore Road,Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 18 more),1721
Capital O 19360 Sai Suites Inn,"Kanaka Nagar, Nagavara, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 16 more),942
OYO 23427 Ashrey Comforts,"Manipal County Rd, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 12 more),766
OYO 19670 Guru Grands,"Konankunte Cross Road, Kanakpura Road, Bangalore",Kitchen  Bar  CCTV Cameras  (+ 9 more),919
OYO 9419 Manu Residency,"Near Sai Baba Ashram Kadugodi, Banglore",Parking Facility  Elevator  AC  (+ 5 more),874
Capital O 40150 Y C Grand,", Bangalore",Parking Facility  Buzzer/Door Bell  Attached Bathroom  (+ 14 more),1210
Collection O 30073 Near Sarjapur Road,"Near Amrita School, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 10 more),1208
OYO 28067 Shree Comforts,"Near RNS motors, Bannerghatta Road, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 9 more),766
OYO 19227 Hotel Classic Comfort,"JP Nagar Metro Station, JP Nagar, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 13 more),869
OYO 46668 Hotel Bliss,"Near Manyata Tech Park, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 7 more),781
Capital O 44375 Hazel Suites Deluxe,"Near Zion Hospitals, Bangalore",Daily Housekeeping  Card Payment  24/7 Checkin  (+ 8 more),1422
Capital O 47480 Crystal Castle,"Bengaluru, Bangalore",First Aid  Daily Housekeeping  Banquet Hall  (+ 11 more),1234
OYO Townhouse 047 Kanakpura Road,"Near Yelachenahalli Metro Station, Bangalore",Parking Facility  Kitchen  First Aid  (+ 15 more),1006
OYO 38420 Kanthraju Lodge & Restaurant,"Near Nelamangala, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 8 more),758
Collection O 30042 Melody Inn Whitefield,"Sterling Suites, Bangalore",Parking Facility  Kitchen  First Aid  (+ 13 more),1230
Capital O 15950 J K Residency,"KRPuram, Bangalore",CCTV Cameras  Geyser  Electric Kettle  (+ 7 more),1382
OYO Townhouse 88 Manyata Lake View,"Near Manyata Tech Park, Bangalore",Parking Facility  Kitchen  First Aid  (+ 11 more),917
OYO 16473 Ring View Hotels,"Devinagar, Bengaluru",Not Available,962
OYO 437 Hotel Vastav Comforts Inn,"HRBR Layout, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),1586
OYO 10136 Hotel Central Suites,"Kaveri Layout, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 8 more),1006
OYO 490 Hotel Compact Maple Leaf,"Near Electronic City Wipro Gate, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 8 more),1006
OYO 39950 Gold Inn,"Near Elements Mall, Bangalore",Complimentary Breakfast  First Aid  Buzzer/Door Bell  (+ 8 more),811
Capital O 11186 The Lark,"Near Hebbagodi Police Station, Hosur Road, Bommasandra",First Aid  Daily Housekeeping  Conference Room  (+ 21 more),1423
OYO Townhouse 071 Brookfield,"BEML Layout, Bangalore",Parking Facility  Kitchen  First Aid  (+ 15 more),1239
OYO 9633 Hotel Srinidhi Residency,"Near Kemp Fort Mall, Banglore",Elevator  Complimentary Breakfast  AC  (+ 6 more),1294
OYO 10480 Hotel PMR,"Whitefield, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 8 more),1006
SilverKey Executive Stays 19407 Padmanabhnagar,"Near Mega Mart, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 8 more),771
OYO 7846 Hotel The Prince Gardenia,"Uttarahalli Main Road, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 5 more),811
OYO 10523 Spandana Residency,"Attibele, Banglore",Parking Facility  Kitchen  Bar  (+ 9 more),811
OYO 5898 Checkin Regency,"KR Puram, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 10 more),1006
OYO 1175 Hotel Uno In,"K H Road, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 6 more),866
OYO 19695 Kaitlyns Hospitality,"Asha township, Doddagubbi Post Hennur Main Road",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 6 more),811
Capital O 16165 Cartier,"Marathahalli, Bangalore",Kitchen  CCTV Cameras  Conference Room  (+ 4 more),1776
Capital O 1435 Hotel Millennium Plaza,"Near Vimalalaya Hospital, Electronic City, Bangalore",Parking Facility  Kitchen  Bar  (+ 12 more),1292
OYO 19704 Sai Dham Comfort,"Bannerghatta main rd Beside Vijaya Bank, Bangalore",Parking Facility  CCTV Cameras  Elevator  (+ 5 more),781
OYO 18265 Golden Keys,"Uttarahalli kengeri main road, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 6 more),811
Collection O 40090 Vittala Comfort,"Near Mayura Bakery, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 12 more),987
SilverKey Executive Stays 35627 Galexia Hotel And Resorts,"Near Yelanka Airforce Base, Bangalore",Parking Facility  Kitchen  First Aid  (+ 10 more),1281
Capital O 23481 Rmv Savera Hotels,"Mathikere Extension, Devasandra Layout, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 14 more),1357
Collection O 19780 Basaweshwara Nagar Saver,"Basaveshwara nagar, Bangalore",Kitchen  First Aid  Attached Bathroom  (+ 13 more),750
OYO 10009 Hotel iOliten,"Silicon Town, 2nd phase, Electronic city, Bangalore",Parking Facility  Elevator  Kitchen  (+ 6 more),781
OYO 26155 El Cielo,"Banswadi, Bengaluru",Parking Facility  First Aid  Complimentary Veg Breakfast  (+ 15 more),1292
SPOT ON 48699 Hotel Pawan Sree Deluxe Lodge SPOT,"Gandhi Nagar, Bangalore",Attached Bathroom  CCTV Cameras  Fire-Extinguisher  (+ 3 more),597
SilverKey Executive Stays 46745 Opposite Vinayaka Apartments,"Hunasamaranahalli, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 13 more),670
Capital O 30599 Hotel Blue Spring,"Near Nithyotsava Wedding Hall, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 16 more),1006
OYO 26900 Royal Inn,"Near 14th Main Road, Rajaji Nagar, Bangalore",First Aid  Complimentary Veg Breakfast  Attached Bathroom  (+ 11 more),811
OYO 26197 Pride Suites,"Chinappa Layout, Mahadevapura, Bangalore",Kitchen  Complimentary Veg Breakfast  Attached Bathroom  (+ 10 more),986
Collection O 30115 Bannergatta Vega City Mall,"Near Sakhi Hospital, Bangalore",First Aid  Daily Housekeeping  Toaster  (+ 16 more),1001
OYO 13043 Sree Sai Suites,"Near SBI Bank, RT Nagar Main Road, Bangalore",Parking Facility  AC  Complimentary Veg Breakfast  (+ 4 more),811
OYO 14972 Hotel Ekaa,"Behind Kudlu Gate Bus Stand, Bangalore",Conference Room  Elevator  Complimentary Breakfast  (+ 15 more),1667
OYO 13941 Hotel Turista,"Near Central Silk board, BTM Layout, Bangalore",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),811
OYO 9058 Neema Residency,"Near Forum Mall, Koramangala, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 8 more),1208
OYO 22836 Hotel Amster Inn,"Near Nayandanahalli Metro Station, Bangalore",Complimentary Veg Breakfast  Attached Bathroom  Daily Housekeeping  (+ 14 more),1318
Collection O 49703 Vaishnavi Residency,"Kumaraswamy Layout, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 15 more),855
OYO 9605 Hotel Golden Inn,"Near HKP Road, Shivaji Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 5 more),905
OYO 23461 Champion Lotus,"Near IIFT, Vijayanagar, Bangalore",Daily Housekeeping  Elevator  Complimentary Breakfast  (+ 14 more),1684
Capital O 36137 Vihaari 24 Business Hotel,"Near Sherlock's Pub Kammnahalli, Bangalore",Parking Facility  Kitchen  First Aid  (+ 15 more),1422
OYO 539 Hotel Pearl Inn,"Koramangala, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 8 more),972
OYO Flagship 28787 Ashoka Pillar Road,"Near Cafe Coffee Day, 100 Feet Road, Bangalore",First Aid  Daily Housekeeping  Toaster  (+ 11 more),1006
OYO 13933 Varcity Pearl,"Bengaluru, Bangalore",Not Available,820
OYO 43279 Sri Raj Residency,"Near Krishnasamy Temple, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 10 more),1537
OYO 10534 Hotel Kanishka,"Gandhi Nagar, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 10 more),1006
OYO 19325 Balaji Comforts Saver,"HSR layout sector7, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 9 more),730
Capital O 46423 Clove Boutique Hotel Rajaji Nagar,"Rajajinagar, Bangalore",Daily Housekeeping  Banquet Hall  Refrigerator  (+ 12 more),1454
Collection O 30015 Kanaka Grand Hebbal,"Vinayakanagar, Hebbal, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 7 more),1683
OYO 2605 Adyar Ananda Bhavan Hotel,"V.I.T. Cross, New Airport Road, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),1508
OYO 436 Emirates Suites,"Near Forum Mall, Kaveri Layout, Bangalore",First Aid  Elevator  AC  (+ 11 more),1208
OYO 10010 R V Comforts,"Near Government PU College, M.V Extension, Bangalore",Complimentary Breakfast  AC  TV  (+ 5 more),811
OYO 7558 Galaxy Comfort Inn,"Shivaji Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 5 more),1006
SilverKey Executive Stays 44127 Thumbay Comforts,"Tumkur, Bangalore",Free Wifi,796
OYO 4848 3 Square Inn,"Hennur Bellary Road, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),814
OYO 852 Kings 10,"R.T.Nagar, Bangalore",CCTV Cameras  Geyser  Elevator  (+ 6 more),1294
OYO 6823 Apartment Bellandur,"Bellandur, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 6 more),1348
OYO Townhouse 098 Manyata Gate No 5,"Near Quicker Office, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 11 more),1006
Capital O 36457 Boulevard Madiwala,"Near Srinivasa Temple Road, Maruti Nagar, Bangalore",Kitchen  Buzzer/Door Bell  Attached Bathroom  (+ 17 more),1350
OYO Townhouse 106 Airport Road,"Near Kempegowda International Airport, Bangalore",First Aid  Daily Housekeeping  Toaster  (+ 15 more),2323
OYO 6145 The Hotel Nalanda,"Bommasandra, Bangalore",Kitchen  Bar  CCTV Cameras  (+ 9 more),850
OYO Townhouse 038 Banaswadi 100Ft Road,"Near NMPC Hospital, Banaswadi, Bangalore",Complimentary Breakfast  Parking Facility  In-house Restaurant  (+ 4 more),1569
OYO 4645 Span Suites,"Opposite Audi Showroom, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 13 more),811
OYO 15818 Om Sai Residency,"Near Sapthagiri Engineering College, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),1574
OYO Townhouse 076 Hebbal,"Mariyannapalya, Dasarahalli, Bangalore",Parking Facility  Kitchen  First Aid  (+ 13 more),1006
OYO Townhouse 149 Brigade Techpark Hebbal,"Near Bhuvaneswari Nagar, Bangalore",Not Available,1006
OYO 10232 Hotel Ashberry,"I Block, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 6 more),865
OYO 14320 The Pride,"Rachenahalli Main Rd P & T Layout, Bangalore",Parking Facility  Kitchen  First Aid  (+ 18 more),811
Collection O 22550 Meridien Suites,"Near Marathahalli Bus Stop, Marathahalli, Bangalore",CCTV Cameras  Card Payment  Power backup  (+ 1 more),1208
OYO 11916 Varcity Plaza,"Near Cross Road, Maruti Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 7 more),855
OYO 24093 Kp Suits,"Amarjyothi Layout, Bangalore",Kitchen  First Aid  Complimentary Veg Breakfast  (+ 14 more),1006
OYO 8846 Golden Amulya Deluxe,"Near IAF Post, Yelahanka, Bangalore",Elevator  Wheelchair Accessible  AC  (+ 12 more),1006
SPOT ON 29575 Hotel Surya International,"Near Reva University, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 8 more),927
OYO 11176 Hotel Tap Gold Crest,"Near Minerva Circle, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 11 more),811
OYO 10363 Sri Balaji Guest House,"Near Bata, Wilson Garden, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 9 more),811
OYO Townhouse 040 Global Village Tech Park,"Near BGS Hospital, RR Nagar, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 5 more),1006
Capital O 46693 7 Boulevard,"Karnataka 560075, Bangalore",In-house Restaurant  First Aid  Attached Bathroom  (+ 8 more),811
OYO Flagship 629 Bagmane Tech Park,"Near Ferns Paradise, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 6 more),1651
OYO 2235 Oh My Rooms Indranagar,"Cambridge Layout, Ulsoor, Bangalore",Elevator  Complimentary Breakfast  Kitchen  (+ 7 more),1277
OYO Townhouse 121 Kormangala 5th Block,"Near Forum Mall, Bangalore",Kitchen  First Aid  Attached Bathroom  (+ 15 more),1239
OYO 5345 Hotel Sai Rennaissance,"Near Whitefield Railway Station, Kadugodi, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),920
OYO 14430 Sunshine Grand,"Near BBMP Park, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 7 more),758
OYO 17247 Resside 11,"Near Byatrayanpura, Airport Road, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),811
Capital O 13184 Savi International,"Opposite Rajiv Gandhi Cicle, Sheshadripuram, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 15 more),1543
OYO 47003 Bangalore Days Hotel,"vidyaranyapura, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 8 more),781
OYO 12840 Sri Guru Residency,"Bidadi Railway Station, Bangalore",AC  TV  Complimentary Veg Breakfast  (+ 3 more),811
OYO 432 Hotel Victoria Heights,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",CCTV Cameras  Geyser  Complimentary Breakfast  (+ 6 more),942
OYO 49293 Hotel White Walkers,"Teachers Colony, Kumaraswamy Layout, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 3 more),728
Capital O 35572 La Brook,"Near Brookfield Mall, Brookefield, Bangalore",Elevator  AC  Card Payment  (+ 10 more),1508
OYO 18936 Khushi Paradise,"RK Hegde Nagar, Bengaluru",CCTV Cameras  Card Payment  Power backup  (+ 1 more),766
Capital O 46966 Apollo 27 Deluxe,"Domlur, Bangalore",First Aid  Daily Housekeeping  Card Payment  (+ 20 more),1678
OYO Townhouse 077 RNS Engineering College,"Near Sai Lotus Layout,Bangalore,",Parking Facility  Kitchen  First Aid  (+ 15 more),1006
OYO 16405 Rg Residency,"Hesarghatta Main Road, Bangalore",CCTV Cameras  Geyser  Complimentary Breakfast  (+ 6 more),811
OYO 49087 SG Comforts,"Navya Nagar Road, Jakkur, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 9 more),728
OYO 8799 Urs Palace,"Rajaji Nagar, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),865
OYO 24850 Stay Zone,"Vignan Nagar, Bangalore",Attached Bathroom  CCTV Cameras  Fire-Extinguisher  (+ 7 more),850
OYO 11097 Hotel Grand Arabian,"Dr.Ambedkar Nagar, Yeshwanthpur, Bangalore",AC  TV  Card Payment  (+ 4 more),847
OYO Townhouse 078 Dodda Banaswadi,"Lakshmamma Layout, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 15 more),1473
OYO 12543 Maple Tree,"Next to Cafe Coffee Day, HBR Layout, Bangalore",Elevator  Complimentary Breakfast  Kitchen  (+ 7 more),811
Collection O 42670 Grand Continent,"Near Mini Forest, Bangalore",AC  TV  Free Wifi,1331
OYO 8739 Melody Inn Bellandur,"Bellandur, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 8 more),2169
