Venue_Name,Address,Format,Price
OYO 26817 Gks Residency,"BTM Layout 2nd Stage, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 10 more),811
OYO 45574 Prakruthi Paradise,"Bengaluru, Bangalore",Parking Facility  Buzzer/Door Bell  Complimentary Veg Breakfast  (+ 14 more),850
Collection O 30096 Tin factory,"Near  1st Cross Road, Jyothi Puram, Bangalore",First Aid  Daily Housekeeping  Refrigerator  (+ 13 more),1006
OYO 17136 Hotel Chinmayee Inn,"Electronic City, Bangalore",Parking Facility  AC  TV  (+ 4 more),766
OYO 22490 Hotel Paradise Inn,"Marathahalli, Bangalore",Kitchen  Complimentary Veg Breakfast  Attached Bathroom  (+ 14 more),994
OYO 10346 The Himalayan Inn,"Near Indiranagar Metro Station, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 8 more),1711
OYO 27065 Eden Au Lac,"Near Indiranagar Police Station, Indiranagar, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 17 more),1560
OYO 15269 Surya Inn Saver,"Near Decathlon, Bangalore",Parking Facility  AC  TV  (+ 6 more),730
OYO 40331 Frontier Management Centre,"Near Ayurvaid Hospital, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 13 more),811
OYO 36277 Sri Durga Comforts,"Airforce School, Murgesh Pallya, Bangalore",Daily Housekeeping  Card Payment  Power backup  (+ 8 more),917
OYO 2323 GS Suites,"Opposite Forum Mall,Thavarekere Main Road, Bangalore",Elevator  Complimentary Breakfast  Wheelchair Accessible  (+ 7 more),883
OYO 3175 Pluspoint Suites,"Near Hyper Mall, Harlur Road, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 11 more),1240
OYO 10395 Dvaraka Inn,"Near Manyata Tech Park, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 11 more),811
OYO 10884 Pavana Residency,"Near Bangalore City Railway Station, Bangalore",Complimentary Breakfast  AC  TV  (+ 5 more),998
OYO 649 Hotel Ajantha Trinity Inn,"Swami Vivekananda Road, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),1331
OYO 14397 Varcity Phi Pavilion,"Near Market Square Mall, Madiwala, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 13 more),811
Collection O 30011 ITPL Hope Farm,"Hill Side Layout, Inner Valley, Bangalore",In-house Restaurant  Kitchen  Card Payment  (+ 3 more),1450
OYO 11915 Varcity Park,"Maruti Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 7 more),855
Capital O 36472 Hotel Raj Vista Suites,"Besides NRR Hospital, Jalahalli West, Banglore",Parking Facility  First Aid  Attached Bathroom  (+ 16 more),1508
OYO 9247 Hotel Samrudhi Park,"Behind Genpact, Electronic City, Bangalore",Parking Facility  Kitchen  Bar  (+ 9 more),781
OYO 10475 PMR Hotel,"Whitefield, Bangalore",Parking Facility  Elevator  AC  (+ 6 more),927
Collection O 30018 Ramee Strand Electronic City,"Near Singasandra, Bangalore",Kitchen  CCTV Cameras  Conference Room  (+ 7 more),2411
Capital O 1309 Anandsagar Inn,"Netkalappa Circle Basavanagudi, Bangalore",Daily Housekeeping  Elevator  AC  (+ 16 more),1294
OYO 9151 Hotel Sri Sai Comforts,"Jayanagar 7th Block, Bangalore",Elevator  AC  Banquet Hall  (+ 3 more),928
OYO 41101 Kv Comforts,"Near JCB Industries, Bangalore",First Aid  24/7 Checkin  Power backup  (+ 6 more),811
Capital O 5379 The Roy Grand Inns,"AVS Layout, Koramangala, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 13 more),1208
OYO 29620 New Champion Residency,"Near Old Madras Road, KR Puram, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 12 more),811
OYO 13595 VT Residency,"Sudhama Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 8 more),859
OYO 9653 Ample Premium Suites,"Near Yelahanka Airforce Base, Bangalore",Kitchen  First Aid  Buzzer/Door Bell  (+ 11 more),766
OYO 27798 Hotel Cosmopolitan,"Near Bengaluru Airport,Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 8 more),1208
Capital O 11959 Seven Olives,"Bommanahalli, Bengaluru",Parking Facility  Kitchen  CCTV Cameras  (+ 11 more),1483
OYO Flagship 475 Marathahalli Innovative Multiplex,"Near SBR Palace, Bangalore",Elevator  Wheelchair Accessible  AC  (+ 6 more),1501
OYO 35680 R G Comforts,"Near Vijaya Nagar, Bangalore",First Aid  Buzzer/Door Bell  Complimentary Veg Breakfast  (+ 13 more),811
OYO 10450 Breeze inn,"BTM Layout, Bengaluru",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 9 more),1006
OYO 18680 Olivia Comforts,"Near Eat Street, Kormangala, Bangalore",Buzzer/Door Bell  Attached Bathroom  CCTV Cameras  (+ 8 more),919
OYO 13024 Ample Mint,"Opposite Corporation Bank, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  AC  (+ 4 more),1006
OYO Home 45373 Spacious Studio Manyata Business Park,"Rachenahalli, Thanisandra, Bengaluru",Kitchen  CCTV Cameras  Geyser  (+ 3 more),703
OYO Townhouse 042 Urvashi Theatre,"Diagonally Opp to Urvashi Theater , Bangalore",Elevator  Complimentary Breakfast  DTH  (+ 8 more),1399
OYO 872 West Park Hotel,"Tasker Town, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 11 more),1286
OYO 13021 Park Palace,"Near Ayappa Temple Madiwala, Bangalore",CCTV Cameras  Geyser  Elevator  (+ 7 more),811
OYO 24130 Surya Comforts,"Virgonagar, Bengaluru",Parking Facility  First Aid  Attached Bathroom  (+ 11 more),781
OYO 22940 Sri Durga Residency,"Near Vidyaranyapura Main Road, Bangalore",Kitchen  First Aid  Attached Bathroom  (+ 11 more),766
OYO 47870 Grand Comforts,"Bennigana Halli, Bangalore",Not Available,1006
OYO 22407 Golden Sands Classic,"Near Oasis Mall, Srinivagalu, Bangalore",Complimentary Veg Breakfast,2077
Capital O 46904 Surya Lotus,"Jakku, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 11 more),781
OYO 28119 Omkar Global Inn,"Near Utthrahali Kengeri Main Road, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 10 more),781
OYO 13901 Vishal Residency,"Yeshwanthpur, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 5 more),811
Collection O 30088 Jayanagar,"Near Sagar Hospitals, Bangalore",Parking Facility  Kitchen  First Aid  (+ 12 more),1006
SilverKey Executive Stays 19493 Manyata Tech Park,"Chanakya Layout, Nagavara, Bangalore",Kitchen  Attached Bathroom  CCTV Cameras  (+ 9 more),904
Capital O 18788 Phoenix Hotel & Resort,"Near IMA Jewels, Shivaji Nagar, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),1784
OYO 9016 Charu Comforts,"Near Adinarayana Swami Temple, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 4 more),835
SilverKey Executive Stays 42938 Victorian Comforts,"Near Hyderabadi Biriyani Road, Bangalore",First Aid  Daily Housekeeping  Toaster  (+ 12 more),969
OYO 19846 Metro Residency,"Attibelle, Bangalore",Parking Facility  First Aid  Complimentary Veg Breakfast  (+ 11 more),811
OYO 4691 Sai Comforts,"Mathikere, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 6 more),919
OYO 39837 Sri Anjaneya Residency,"Shimoga, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 11 more),781
OYO 10821 Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",Elevator  Complimentary Breakfast  Wheelchair Accessible  (+ 8 more),811
OYO 5641 Hotel Corporate Park Inn,"Jaladarshini Layout, New bel road, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),865
OYO 45125 Banashankari Comforts,"Ganganagar, Bangalore",Daily Housekeeping  Power backup  24/7 Checkin  (+ 4 more),850
OYO 4439 Aura Inn,"Prakash Nagar, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 9 more),1289
OYO 9060 Sri Sai Guest Inn,"Near Big Bazar, Panduranga Nagar, Bangalore",Parking Facility  Elevator  AC  (+ 6 more),874
OYO Flagship 15444 Manasa Electronic City,"Near Electronics City Phase 1, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 5 more),1208
OYO 10522 Varcity Emerald,"KEB Colony, BTM Layout 1, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 11 more),855
OYO 29638 Gmr 18 Hotel,"Near JSS Public School, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 12 more),1208
OYO 7669 The Trinitywood Hotel,"Near Lido Mall, M.G Road, Banglore",Parking Facility  Kitchen  Bar  (+ 11 more),1920
OYO Townhouse 108 Reva College University,"Near Reva College, Bangalore",Parking Facility  Kitchen  First Aid  (+ 13 more),1006
OYO 17373 Ssv Hotel,"Near Santhe Gate,  Hokote, Bangalore",AC  Banquet Hall  Card Payment  (+ 10 more),766
OYO Townhouse 104 Koramangala Maharaja Signal,"Near Sony World Store, Friends Colony, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 14 more),1523
OYO 9018 Abhimaan Residency,"Near MGA Hospital, Varthur Main Road, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 5 more),1006
OYO 12761 High Street,"Near Safina Plaza, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),1722
Capital O 1078 Royal Serenity,"Behind Bhima Jewellery, Kalyan Nagar, Bangalore",First Aid  Elevator  AC  (+ 11 more),1294
OYO 16990 Pratham Presidency,"New Airport road, Bangalore",CCTV Cameras  Geyser  Elevator  (+ 7 more),838
OYO 41938 Hotel Tibet Deluxe,"Near Tibet Mall, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 9 more),832
OYO 10321 Koramangala,"BTM Layout, Bangalore",Complimentary Breakfast  AC  TV  (+ 5 more),811
OYO 4252 Hotel Pleasant Moments Deluxe,"Kormangala 4th block, Bangalore",Parking Facility  AC  TV  (+ 4 more),847
OYO 16514 Ivory Pearl,"Madiwala, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 10 more),811
OYO 25036 Suraksha Residency,"Near 6th Cross Road, Gandhi Nagar, Bangalore",First Aid  Elevator  Complimentary Breakfast  (+ 11 more),1208
OYO 24259 Hotel Blue Inn,"Near Jayadeva Hospital, Bangalore",First Aid  Complimentary Veg Breakfast  Attached Bathroom  (+ 11 more),892
OYO 27839 Manyata Suites,"Near HKBK College, Manyata Tech Park, Bangalore",Kitchen  First Aid  Complimentary Veg Breakfast  (+ 14 more),1374
OYO 23046 New Aishwarya Comforts,"Ramaya Hospital, KGE Layout, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 13 more),907
OYO 13029 Hotel Bestend,"Near Jamia Masjid, Kalasipalaya, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Elevator  (+ 6 more),888
OYO 9925 The Ocea International,"Near St.Joseph's College of Commerce, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),1508
OYO 49038 Schmear Heights Saver,"HBR Layout, Bangalore",Buzzer/Door Bell  Attached Bathroom  Daily Housekeeping  (+ 7 more),694
Collection O 30051 BTM Layout,"BTM Layout, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 12 more),1323
OYO 29293 Athithi Comforts,"Near Happy Home shopping mall, Banglore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 8 more),781
OYO 8385 Udupi Inn,"Bombay Dyeing Road, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 5 more),1737
SilverKey Executive Stays 30377 Siri Square,"Near Sri Manjunatha Medicals, Bangalore",Parking Facility  Kitchen  First Aid  (+ 15 more),1006
OYO Townhouse 019 Jayanagar,"Near 4th Block Jayanagar, Bangalore",CCTV Cameras  Geyser  Elevator  (+ 6 more),1860
OYO 15695 Varcity Comforts,"BTM Layout, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 7 more),850
OYO 16744 Live Inn Castle,"Thavarekere Main Road, Bangalore",Elevator  Complimentary Breakfast  Wheelchair Accessible  (+ 8 more),1006
OYO 37517 Withinn Hotel,"Near NIAS, Mathikere Extension, Bangalore",Daily Housekeeping  Elevator  AC  (+ 11 more),919
OYO 16661 E Foods,"Bommasandra Industrial Area, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 6 more),766
OYO 4290 Silicon Suits,"Near Jyothi Niwas Bus Stop, Koramangala, Bangalore",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),972
OYO 431 Hotel Maple In,"Near Barista Coffee Bar, Koramangala, Bangalore",Parking Facility  Complimentary Breakfast  Elevator  (+ 5 more),850
OYO 44601 Akthar Comforts,"Begur, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 7 more),811
Capital O 19719 Aaccord Hotel,"BTM Layout, Bangalore",Not Available,1963
OYO Home 41705 Elegant Stay Ramamurthy Nagar,"Near Shree Lakshmi Theatre, Govindpura, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 4 more),938
Collection O 30023 De Oriell Kormangala,"Koramangala, Bangalore",Parking Facility  Kitchen  First Aid  (+ 13 more),1389
OYO 8476 Garden Comfort,"Near Wilson Garden, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 7 more),889
OYO 23440 Hotel Mcc Paradise,"Near Venkateswara Petrol Pump, Hosur",First Aid  Complimentary Breakfast  AC  (+ 14 more),3296
OYO 44065 Sri Krishna Nilaya,"111/2. New Channasandra extn. (Kalappa Badavane) 6th cross PVS Convent Road Kadugodi post, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 14 more),811
OYO 11092 Shiv Enclave,"Near Manayata tech Park Nagavara, Banglore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 10 more),811
OYO 24573 Eyrie Comforts,"Near BDA Complex, Koramangala, Bangalore",Parking Facility  Kitchen  First Aid  (+ 11 more),1536
OYO 5683 Sri Sai Suites,"Bannerghatta road, Bangalore",Parking Facility  CCTV Cameras  Elevator  (+ 6 more),928
OYO 15358 Hotel Townhall,"Near Shivaji Theatre, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),811
SilverKey Executive Stays 44663 R Stay Inn Saver,"new international Airport road, Bangalore",First Aid  Daily Housekeeping  Refrigerator  (+ 9 more),600
OYO 29346 Vijay Residency,"Opposite Omkareshwara Temple, BTM Layout, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 11 more),811
OYO 16987 Sai Suites,"Ganganagar , Bangalore",Complimentary Breakfast  AC  TV  (+ 5 more),866
OYO Home 36484 Luxurious Stay Banaswadi,"Munireddy Layout, Banaswadi, Bengaluru",Kitchen  Attached Bathroom  Step Free Access  (+ 5 more),892
OYO Flagship 29560 BGS Gleneagles Global Hospital,"Near Reflex Housing Layout, Bangalore",Parking Facility  Kitchen  First Aid  (+ 11 more),745
Collection O 150 1st Cross Road Cottonpet,"Near Cottonpete Cross, Bangalore",Kitchen  Attached Bathroom  Daily Housekeeping  (+ 13 more),873
OYO Home 30639 Spacious Stay J P Nagar,"J. P. Nagar, Bengaluru",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 6 more),817
OYO 23627 Grand Residency,"Near Treat Restaurant, Grameena Bank, Bengaluru",First Aid  Elevator  Complimentary Breakfast  (+ 16 more),811
OYO 11730 Maruthi Global,"Near Global Village Tech Park Back Gate, Bangalore",Elevator  AC  TV  (+ 5 more),781
OYO 13670 Skylark Service Apartment,"Cheleker Outer Ring Road, HRBR Layout, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 6 more),972
Collection O 30061 Koramangala Wipro Signal,"16th Main Rd, Koramangala 4th Block, Koramangala, Bengaluru, Karnataka 560034",Kitchen  First Aid  Attached Bathroom  (+ 13 more),1688
OYO 37297 Bheemudu Inn,"Near Prashant Hospital, Bangalore",First Aid  Elevator  Complimentary Breakfast  (+ 16 more),1006
OYO 14796 Hiland Suites,"Sheshadripuram, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),1294
OYO 581 Serene Grove,"Near SGR Dental College Road, Munnekolala, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 10 more),1393
Collection O 30067 Indiranagar,"Near Halasuru Metro Station, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 5 more),1517
OYO 10022 Hotel Oak Castle,"HBR layout, Bangalore",Parking Facility  Complimentary Breakfast  AC  (+ 5 more),811
OYO Flagship 5360 Bellandur Outer Ring Road,"Bellandur, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 9 more),1006
OYO Flagship 45502 Sree Banashankari Guest House 2,"Kasba Hobli, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 10 more),781
OYO Home 36292 Exotic Stay Dodda Banaswadi,"Dodda Banasawadi Main Rd, Kalyan Nagar, Bangalore",Kitchen  Buzzer/Door Bell  Attached Bathroom  (+ 8 more),1208
OYO 8252 Aayush Corporate Stays,"4th block, Kormangala, Bangalore",Complimentary Breakfast  Elevator  AC  (+ 6 more),1208
OYO 43308 Surya Gateway,"Near Hosahalli Main Road, Hunasamaranahalli, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 10 more),436
OYO 19038 Mathrushree Comforts,"Acharya Doctor Sarvepalli Radhakrishnan Road, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 6 more),811
Capital O 14273 Inn@Silicon Valley,"Near Santhosapuram, 1st Block Koramangala, Bangalore",Conference Room  Elevator  Wheelchair Accessible  (+ 13 more),1329
OYO 15776 V R Residency,"4th block, HBR Layout, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),847
OYO 15430 Sagar Comforts,"Near Cafe Republic, Kattigenahalli, Bangalore",Card Payment  CCTV Cameras  Power backup  (+ 1 more),781
OYO 2183 Hotel Fortune City,"Vidyanagar, Bommasandra, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),769
SilverKey Executive Stays 24047 Airport,"Vinayaka Appartment road, Hunasamaranahalli, Bangalore",Kitchen  First Aid  Attached Bathroom  (+ 12 more),763
OYO Home 30654 Elegant Stay Hennur Cross,"Iskcon Temple, Banasawadi, Bangalore",Kitchen  Attached Bathroom  Daily Housekeeping  (+ 6 more),971
SPOT ON 46393 Venkat Regency SPOT,"Near Jalahalli Cross, Bangalore",Not Available,490
OYO 2388 Hebbal,"Near Baptist Hospital, Anand Nagar, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 6 more),865
OYO 14520 Habitat Hotel & Suites,"Dr.Ambedkar Nagar, Yeshwanthpur, Bangalore",Parking Facility  CCTV Cameras  Conference Room  (+ 9 more),1006
Capital O 46906 Surya Orchids,"Near St Anns Church Road, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 12 more),781
OYO 5590 Ujwal Residency,"BK Nagar, Bangalore",AC  TV  Card Payment  (+ 3 more),781
OYO Flagship 10866 Bangalore,"Jayanagar, Bangalore",Parking Facility  AC  TV  (+ 5 more),964
OYO 11927 Varcity Imperium,"Sulthangunta, Shivaji Nagar",Elevator  Kitchen  AC  (+ 6 more),2799
OYO 13567 1BHK Suites and Rooms,"Near Kalyan Nagar, Babu Sahibpalya, Bangalore",CCTV Cameras  Geyser  Elevator  (+ 6 more),972
OYO 5367 near Outer Ring Road,"Behind Mega Mart, Kalyan Nagar, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),811
OYO 13787 Sandal Leaf Park,"Chandapura Dommasandra Road ,Anekal",CCTV Cameras  AC  TV  (+ 1 more),811
OYO 14424 Saarang Forever,"Near Syndicate Bank ATM, Model Colony, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 6 more),1006
Capital O 13090 Astor Hotel,"Near Barbeque Nation, Koramangala, Bengaluru",Elevator  AC  Card Payment  (+ 9 more),1292
OYO 9768 Gokul Harmony,"35th Main, BTM 2nd Stage, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),919
OYO Flagship 17178 Ankura Hospitality,"Niranjana, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 5 more),726
OYO 6825 New Crescent Citadel,"Murugeshpalya, Bangalore",Parking Facility  Elevator  Complimentary Breakfast  (+ 7 more),1294
OYO Flagship 12476 Bellandur,"Near Iblur Bus Stop, Bangalore",AC  Card Payment  Power backup  (+ 2 more),1006
OYO 3453 Bhagini Residency,"Near Nagavara Lake, Hebbal Outer Ring Road, Bangalore",Conference Room  Elevator  Complimentary Breakfast  (+ 13 more),1006
OYO 25017 Alkhaleej Apartment,"HRBR Layout, Kalyan Nagar, Bangalore",First Aid  Complimentary Veg Breakfast  CCTV Cameras  (+ 9 more),1942
OYO Townhouse 035 Indiranagar,"Near CV RAMAN hospital, Indira Nagar, Bangalore",Complimentary Breakfast  In-house Restaurant  Kitchen  (+ 7 more),2183
OYO 37389 Fun Stop B,"Near Hesarghtta Flower Garden, Bangalore",Parking Facility  Kitchen  Attached Bathroom  (+ 15 more),817
Collection O 30121 The Mayer,"Near WNS Bangalore Office, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 17 more),1578
OYO Townhouse 93 Ramamurthy Nagar,Near Kasturi Nagar Bangalore,Kitchen  First Aid  Attached Bathroom  (+ 14 more),2020
SilverKey Executive Stays 24644 Electronic City Phase- II,"Near Tech Mahindra Office, Bangalore",Attached Bathroom  CCTV Cameras  Fire-Extinguisher  (+ 6 more),916
SPOT ON 41554 Hotel Sri Thirumala Paradise SPOT,"Near Subhash Nagar, Sevashrama, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 3 more),490
Collection O 30045 Hotel Legacy Brigade Road,"Near Catholic Club, Brigade Road, Bangalore",First Aid  Functional Living Area  Attached Bathroom  (+ 13 more),1802
OYO 12544 Varcity Twin Towers,"Near SV Hospital, BTM Layout, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 6 more),890
OYO Townhouse 180 Sant Regency Saver,"Bengaluru, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 10 more),886
OYO 5341 Gokul Hibiscus,"BTM 2nd Stage, Bangalore",Complimentary Veg Breakfast  Geyser  Complimentary Breakfast  (+ 5 more),1600
OYO 10436 Hotel Forum Park,"Chikku Lakshmaiah Layout, Adugodi, Bangalore",Complimentary Breakfast  AC  TV  (+ 4 more),850
